Originating Device,Chassis ID,Port ID,Port Description,System Name,System Description,Local Intf
,,,,,,Gi1/1/1
10.120.0.14,0008.e3ff.fd90,Te2/1/5,TBMNC-TC-IT-SW1A  Gi1/1/2,TBMNC-TC-CORE-SW1A.toyota.com,,Gi1/1/2
10.120.0.14,0008.e3ff.fd90,Te1/1/5,TBMNC-TC-GH-SW1A  Gi1/1/1,TBMNC-TC-CORE-SW1A.toyota.com,,Gi1/0/3
10.120.0.14,10.120.3.26,F8A5C59E03C4:P1,SW PORT,SEPF8A5C59E03C4.tmm.na.corp.toyota.com,,
,,,,,,Gi2/1/1
10.120.0.13,0008.e3ff.fd90,Te2/1/4,TBMNC-TC-IT-SW1A  Gi2/1/1,TBMNC-TC-CORE-SW1A.toyota.com,,Gi1/1/1
10.120.0.13,0008.e3ff.fd90,Te1/1/4,TBMNC-TC-IT-SW1A  Gi1/1/1,TBMNC-TC-CORE-SW1A.toyota.com,,Te1/0/48
10.120.0.13,286f.7fff.1c34,Gi0,GigabitEthernet0,TBMNC-ITOffice-AP02,,Te1/0/45
10.120.0.13,0896.ad90.6776,Gi0,GigabitEthernet0,TBMNC-ITOffice-AP01,,Te1/0/46
10.120.0.13,b8a4.4f61.fa5d,b8a4.4f61.fa5d,eth0,axis-b8a44f61fa5d,,Te1/0/47
10.120.0.13,b8a4.4f62.1677,b8a4.4f62.1677,eth0,axis-b8a44f621677,,Gi1/0/5
10.120.0.13,c442.680a.2da7,c442.680a.2da7,eth0,TS-1070-C442680A2DA7,,Gi2/0/6
10.120.0.13,c85a.cf07.0330,c85a.cf07.0330,,,,
,,,,,,Te2/1/1
10.120.0.10,0008.e3ff.fd90,Te2/1/1,TBMNC-TC-MDF-SW1A  Gi2/1/1,TBMNC-TC-CORE-SW1A.toyota.com,,Te1/1/1
10.120.0.10,0008.e3ff.fd90,Te1/1/1,TBMNC-TC-MDF-SW1A  Gi1/1/1,TBMNC-TC-CORE-SW1A.toyota.com,,Te2/0/45
10.120.0.10,d0e0.4223.8e00,Gi0/0/2,Internet Interface,TBMNC-TC-NRTSDW1A,,Te2/0/43
10.120.0.10,d0e0.4223.8e00,Gi0/0/3,LAN Service Interface,TBMNC-TC-NRTSDW1A,,Te2/0/42
10.120.0.10,d0e0.4223.8e00,Gi0,Management VPN Interface,TBMNC-TC-NRTSDW1A,,Te1/0/43
10.120.0.10,d0e0.4223.8d40,Gi0/0/3,LAN Service Interface,TBMNC-TC-NRTSDW1B,,Te1/0/45
10.120.0.10,d0e0.4223.8d40,Gi0/0/2,Internet Interface,TBMNC-TC-NRTSDW1B,,Te1/0/42
10.120.0.10,d0e0.4223.8d40,Gi0,Management VPN Interface,TBMNC-TC-NRTSDW1B,,Te2/0/40
10.120.0.10,b8a4.4f58.ed79,b8a4.4f58.ed79,eth0,axis-b8a44f58ed79,,
,,,,,,Gi1/0/11
10.120.0.15,768b.7180.e68b,c442.683e.d94b,eth0,RS-TBMNC-FH,,Gi1/1/1
10.120.0.15,0008.e3ff.fd90,Te1/1/7,TBMNC-TC-EMR-SW1A-Te1/1/1,TBMNC-TC-CORE-SW1A.toyota.com,,Gi1/0/8
10.120.0.15,ee69.048b.fa9b,c442.6837.0a3e,eth0,TP-TBMNC-FH,,Gi2/1/1
10.120.0.15,0008.e3ff.fd90,Te2/1/7,TBMNC-TC-EMR-SW1A-Te2/1/1,TBMNC-TC-CORE-SW1A.toyota.com,,Te2/0/45
10.120.0.15,002a.101e.f2bc,Gi0,GigabitEthernet0,TBMNC-TC-EMR-AP04,,Te1/0/47
10.120.0.15,002a.1060.4b2e,Gi0,GigabitEthernet0,TBMNC-TC-EMR-AP05,,Te2/0/43
10.120.0.15,002a.1034.7690,Gi0,GigabitEthernet0,TBMNC-TC-EMR-AP09,,Te1/0/43
10.120.0.15,002a.1060.5e8a,Gi0,GigabitEthernet0,TBMNC-TC-EMR-AP08,,Gi1/0/9
10.120.0.15,CR-TBMNC-FH,908d.6e95.4754,,,,Gi1/0/3
10.120.0.15,10.120.3.2,F8A5C59E41AC:P1,SW PORT,SEPF8A5C59E41AC.tmm.na.corp.toyota.com,,Te2/0/44
10.120.0.15,002a.1060.2b04,Gi0,GigabitEthernet0,TBMNC-TC-EMR-AP07,,Te2/0/46
10.120.0.15,002a.1060.5e54,Gi0,GigabitEthernet0,TBMNC-TC-EMR-AP02,,Te2/0/47
10.120.0.15,002a.1060.52a8,Gi0,GigabitEthernet0,TBMNC-TC-EMR-AP06,,Te1/0/45
10.120.0.15,002a.101e.e68a,Gi0,GigabitEthernet0,TBMNC-TC-EMR-AP01,,Te1/0/46
10.120.0.15,58ac.78f8.5afc,Gi0,GigabitEthernet0,AP58AC-78F8-5AFC,,Te2/0/48
10.120.0.15,b8a4.4f44.4e0c,b8a4.4f44.4e0c,eth0,axis-b8a44f444e0c,,Te1/0/48
10.120.0.15,b8a4.4f44.6797,b8a4.4f44.6797,eth0,axis-b8a44f446797,,Gi1/0/6
10.120.0.15,c442.681e.b8df,c442.681e.b8df,eth0,MD210-c442681eb8df,,
,,,,,,Gi2/1/1
10.120.0.17,0008.e3ff.fd90,Te2/1/9,TBMNC-TC-ENF-SW1A-Te2/1/1,TBMNC-TC-CORE-SW1A.toyota.com,,Gi1/1/1
10.120.0.17,0008.e3ff.fd90,Te1/1/9,TBMNC-TC-ENF-SW1A-Te1/1/1,TBMNC-TC-CORE-SW1A.toyota.com,,Te1/0/44
10.120.0.17,002a.1034.8f8c,Gi0,GigabitEthernet0,TBMNC-TC-ENF-AP01,,Te2/0/45
10.120.0.17,002a.101e.df5c,Gi0,GigabitEthernet0,TBMNC-TC-ENF-AP04,,Te1/0/43
10.120.0.17,00f6.6373.5ea6,Gi0,GigabitEthernet0,TBMNC-TC-ENF-AP06,,Te1/0/46
10.120.0.17,002a.1034.8750,Gi0,GigabitEthernet0,TBMNC-TC-ENF-AP05,,Te1/0/45
10.120.0.17,002a.1060.4e8c,Gi0,GigabitEthernet0,TBMNC-TC-ENF-AP07,,Te2/0/46
10.120.0.17,002a.1060.5c02,Gi0,GigabitEthernet0,TBMNC-TC-ENF-AP08,,Te2/0/47
10.120.0.17,002a.1060.4b66,Gi0,GigabitEthernet0,TBMNC-TC-ENF-AP02,,Te2/0/44
10.120.0.17,002a.101e.df58,Gi0,GigabitEthernet0,TBMNC-TC-ENF-AP03,,Te2/0/48
10.120.0.17,b8a4.4f5f.e1ea,b8a4.4f5f.e1ea,eth0,axis-b8a44f5fe1ea,,Te1/0/48
10.120.0.17,b8a4.4f9c.e13f,b8a4.4f9c.e13f,eth0,axis-b8a44f9ce13f,,
,,,,,,Gi1/0/27
10.120.0.11,76af.c09d.7214,c442.681f.774c,eth0,TSS-1070-TBMNC-RM1,,Gi1/0/24
10.120.0.11,4276.a401.c798,c442.681f.783d,eth0,TSS-1070-TBMNC-RM4,,Gi1/0/25
10.120.0.11,2e85.b119.2043,c442.681f.778b,eth0,TSS-1070-TBMNC-RM3,,Gi1/1/1
10.120.0.11,0008.e3ff.fd90,Te1/1/6,TBMNC-TC-ORO-SW1A  Gi1/1/1,TBMNC-TC-CORE-SW1A.toyota.com,,Gi2/1/1
10.120.0.11,0008.e3ff.fd90,Te2/1/6,TBMNC-TC-ORO-SW1A  Gi2/1/1,TBMNC-TC-CORE-SW1A.toyota.com,,Gi1/0/28
